MaxT,MinT,WindSpeed,Humidity 
34.2,26.7,1.4,72.2
34.3,26.5,1.7,74
31.9,25.2,2.6,82.4
32.2,24.9,2.6,78.8
31,26,2.4,74.8
30.1,26.1,2.7,77.2
31.2,25.5,1.6,76.7
29.7,25.5,1.7,67.3
30.2,25.4,2.7,74.1
28.1,25.1,2.9,76
29.8,25.9,3.4,72.9
32.3,26.3,3.9,65
33,27,3.3,72.1
33.1,27.7,2.9,74.5
31.8,27.2,2.9,74.8
32.4,26.4,2.6,75.9
33.7,26.6,2.3,76.9
32,26.8,2.3,74.4
30.6,24.7,2.3,76.7
32.5,25.6,2.4,77.2
32.8,26.1,2.3,68.5
33.4,25.8,1.7,67.9
30,25.3,1.6,63.1
28.6,24.8,2.4,66.2
31.5,25.1,2.5,70.9
30.1,25.8,2.2,80
32.2,25.6,2.1,65.7
34.3,24.9,1.5,62.8
33.3,25.1,1.5,63.7
33.5,25.1,1.3,70.3
33.2,25.5,1.3,73.3
33.6,25.2,1.5,64.8
33.8,24.8,1.4,65.4
33.6,24.6,1.1,67.6
33,24.4,1.2,73
32.5,24.8,1.1,72
31.1,24.5,1.6,77.1
31.1,25.2,1.2,73.2
31.7,25,1.1,75.5
31.8,24.6,1.4,70.5
30.8,21.3,1.2,72.5
31.4,24.4,1.9,71.3
30.7,23.2,2.1,70.5
30.8,23.3,1.4,70.2
31.4,22.6,1.1,64.1
31.2,23.5,1.1,73.1
31.2,23.5,1.5,76.6
29.6,23.5,2.1,74.9
26.9,23.3,1.6,81.4
30.6,24.7,1.4,77
31.9,26.4,2,83.8
32.7,24.6,1.1,79.6
31.9,24.5,1.4,79.4
32.1,25.6,1.2,83.3
32.7,25.1,0.9,76.5
32.9,24.6,1.1,75.7
32.1,24.1,1.2,72.2
31.5,23.1,1.2,69.7
31.9,22.9,0.8,72.3
32.3,23.1,1,66.1
32.1,23.1,1.3,68.9
31.8,21.7,1.7,68
32,20.5,1.8,65.6
32.2,19.7,1.4,59.8
32.6,18.8,1.5,63.9
31.4,18.7,1.5,62.9
30.6,20.1,1.6,65
30.8,20.3,1,69.3
30.6,23.3,1.1,77.4
31.5,23.9,1.4,75.2
30.7,22.2,1.5,66
30.5,19.9,1.6,64
30.9,18.4,1.5,64.8
30.5,17.4,1.5,60.7
31.4,18.2,1.4,61.5
31.4,20.7,1,66.7
31.7,22.2,1.2,68.3
31.1,21.5,0.9,59.3
30.8,19.1,1.2,66.9
30.9,19.7,1.7,67.6
30.2,21.3,1.4,69
30.5,21.3,1.4,67.3
30.6,22.3,1.3,64.1
29.6,21.3,2.1,70.2
29.3,20.7,2,68.5
29.4,20.5,1.7,71.6
30,19.2,1.2,64.6
30.4,20,1.4,70.8
30,20.6,1.2,71.3
29.9,20.9,0.9,68.7
30.2,21,1.3,72
30.1,21,1.3,70.3
30.4,21,1.4,71.6
28.8,22.4,1.7,72.8
29.8,22.6,1.9,70.4
30.7,22.2,2.1,67.8
29.9,21.4,2.9,64.9
27.7,21.3,2.8,67.4
28.1,22.2,1.7,72.8
30.9,22.2,1.6,66.2
32,20.9,1.2,70.1
32.4,20.4,1.2,64.1
32.5,20.8,0.8,63.7
33.4,18,0.7,61.3
30.9,17.8,0.7,62.9
31.5,19.8,0.9,69.4
31.2,20.2,0.7,72.6
31.8,20.9,0.5,69.3
32,22.1,0.7,68.8
31.6,22.9,1.3,63.8
30.9,21.7,1.4,67.6
30.2,20.4,1.4,66.5
29.2,18.7,1.6,67.5
29,17.3,1.5,68.1
29.4,16.9,1.3,62.8
29.7,17.9,1.5,64.6
29.9,18.2,1.4,63
30.2,18.8,1.3,66.3
30.5,18.7,1.3,67.4
31.1,17.5,1.1,63.4
31,17.9,1.4,61.7
30.8,18.6,1.2,61.5
30.9,19.5,1.3,67.1
31.3,19.6,1.2,63.6
31.5,19.5,1.3,66.9
30.8,19.3,1.1,61.5
30.6,21.2,1.4,61.2
30.3,19.3,1.5,55.4
30.3,18.4,0.9,62.6
30.4,18,1,68.5
30.8,18.7,1.2,63.1
31,19.6,1.4,72.3
30.9,21.2,1.7,65
30.4,20.6,2,70.7
30.3,21.1,1.5,70.2
31.3,21.9,1.8,74.1
31.2,23.4,2.2,74.1
29.6,22.3,1.6,65.6
29.2,20.7,1.4,69.9
30.2,20.3,1.2,66.5
31.2,21.1,1.5,71.1
32,22.5,1.7,66
30.4,22.6,1.2,65.4
29.8,20.9,1.4,60.9
30.8,22.1,1.9,66.7
30.2,23.8,1.5,69.6
30.8,23.9,1.8,69.3
30.8,22.5,2.1,67
31,21.6,1.7,64.8
31,22.2,1.4,69.9
31,24.1,2.2,69.7
28.6,23.2,1.9,72.6
27.1,22.7,2.2,66.9
27.2,23.7,2.4,65.5
29.6,22.8,2.1,56.5
30.8,22.5,1.5,62.3
31.3,21.8,1.6,60.6
31.3,21.6,1.4,62.5
31.7,21.9,1.3,62.6
31.7,21.2,1.2,65.2
31.7,22.2,1.3,62.7
31.2,21.8,1.1,62.3
32.1,21.7,1.5,66.7
31.3,21.7,1.7,62.2
